ds,yhat,yhat_lower,yhat_upper
2023-09-10,31.991679936978667,25.133236001137163,39.304998826727484
2023-09-11,31.972708595308433,24.673031382031027,38.71397117028908
2023-09-12,32.831914425901715,25.874772264785292,39.39699699820463
2023-09-13,32.56656930299153,25.897787096945063,39.63562825866909
2023-09-14,32.644287463013946,26.15298579722264,39.76661120860934
2023-09-15,32.03675658954304,25.208840370825506,39.035906924148314
2023-09-16,33.003675067084146,26.28442513885624,40.177461470881816
2023-09-17,32.00006639725269,25.147058689491924,38.227252884512325
2023-09-18,31.981095055579395,25.085838533002065,38.52546702823534
2023-09-19,32.84030088617926,26.003583080919327,39.607439530163084
2023-09-20,32.57495576326655,25.92443093426213,39.59485638986964
2023-09-21,32.6526739232878,25.506429990843568,39.85165138914485
2023-09-22,32.04514304981552,25.353048314452334,38.523249523419146
2023-09-23,33.01206152735926,25.84037952666878,39.86971626470138
2023-09-24,32.008452857526706,25.286628735858283,39.29076748708497
2023-09-25,31.989481515855744,24.97541408693789,39.027001015036205
2023-09-26,32.84868734645184,26.132622880230205,39.87067233594826
2023-09-27,32.58334222354153,25.52646937987068,39.59078754474616
2023-09-28,32.661060383561654,25.386268258056017,39.44351351334664
2023-09-29,32.05352951009044,24.711211254804905,39.28928389248042
2023-09-30,33.02044798763119,26.540861153555177,39.951939854001495
2023-10-01,32.01683931779834,24.61430317858682,38.583071548740975
2023-10-02,31.9978679761294,25.16717979869783,38.60236506445993
2023-10-03,32.85707380672442,25.988530820810727,40.114129223211116
2023-10-04,37.19905348183975,30.346189793328122,44.256394221825474
2023-10-05,37.23768843988191,30.20676912025987,44.43157778367806
2023-10-06,48.79000396443398,42.27933332286142,55.73296774472675
2023-10-07,33.02883443999908,25.707455293423838,39.32918637716068
2023-10-08,32.02522576819107,25.201980978430324,38.89011023031351
2023-10-09,32.00625442454061,25.120169073544425,38.85942940518327
2023-10-10,32.86546025316432,25.91556974095019,40.18366525623128
2023-10-11,32.60011512827361,25.17004046730387,39.95146797934564
2023-10-12,32.67783328631742,25.672907964740038,39.28650360786678
2023-10-13,32.07030241086883,24.884439861283123,38.89666326733487
2023-10-14,33.03722088643656,26.355206373794037,39.80501717371426
2023-10-15,32.033612214625066,25.577854191811042,39.399921956607294
2023-10-16,32.01464087097663,24.602815026775552,38.39141000865808
2023-10-17,32.87384669959927,26.0090858641614,39.38152207945386
2023-10-18,32.608501574711,26.10852824261305,39.82399932471656
2023-10-19,32.68621973275588,25.650874428985887,39.0286273884493
2023-10-20,32.07868885730514,25.021635800259766,38.96444885002251
2023-10-21,33.04560733287086,26.22852715032949,39.7705951102583
2023-10-22,32.04199866106383,25.429474973120914,38.693907782794554
2023-10-23,32.02302731741265,25.039295898862047,39.2799576717461
2023-10-24,32.88223314603381,26.423540262087233,39.84212545897514
2023-10-25,32.61688802114839,25.83065826010311,39.57302804191127
2023-10-26,32.69460617919139,25.57912856573457,40.03367908190506
2023-10-27,32.087075303741955,25.369598992149868,39.026054718963294
2023-10-28,33.05399376233831,25.6676883739433,39.5809972652804
